Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,41.949505,41.967171,41.075191,41.075191,40.058941,671688
2010-01-05,41.507931,41.596249,39.768131,40.094894,39.102898,948312
2010-01-06,40.174377,40.554134,39.494354,40.536469,39.533546,644626
2010-01-07,40.183212,41.481438,39.573837,40.995708,39.981426,903473
2010-01-08,41.331303,41.331303,40.015411,40.015411,39.025383,526186
2010-01-11,40.518806,40.518806,39.582672,39.653320,38.672253,377853
2010-01-12,39.344219,39.476692,38.505230,39.185253,38.215767,696712
2010-01-13,39.300064,40.130222,38.902645,39.565006,38.586121,806320
2010-01-14,39.547344,39.988918,38.990963,39.503185,38.525833,830099
2010-01-15,38.990963,39.414871,38.416916,38.416916,37.466434,954313
2010-01-18,38.593544,38.990963,37.613251,37.613251,36.682652,589256
2010-01-19,37.613251,37.622082,36.668285,36.783092,35.873032,1255849
2010-01-20,36.809586,36.809586,34.425091,34.513405,33.659504,2930314
2010-01-21,34.663540,35.679157,34.089493,35.325901,34.451897,1708208
2010-01-22,35.246414,36.473991,35.122776,36.270866,35.373478,1452531
2010-01-26,35.564350,35.679157,33.656750,34.946144,34.081535,792619
2010-01-27,35.060955,35.149269,33.904034,34.195473,33.349438,703506
2010-01-28,34.539898,34.796013,32.923737,33.294659,32.470909,960768
2010-01-29,33.550774,34.045338,33.188683,33.559605,32.729301,777333
2010-02-01,33.974686,34.796013,33.506615,34.796013,33.935120,482365
2010-02-02,35.546688,35.564350,34.513405,35.060955,34.193504,579291
2010-02-03,35.175766,35.237583,34.301449,34.990303,34.124599,729889
2010-02-04,34.531067,34.707695,32.340862,33.029716,32.212521,872447
2010-02-05,32.499828,32.994389,30.954321,31.793310,31.006706,1090418
2010-02-08,32.181896,32.190727,30.733534,30.821848,30.059278,1330581
2010-02-09,31.440050,32.499828,31.051466,32.146568,31.351225,952275
2010-02-10,32.499828,32.720615,31.175106,32.014095,31.222027,688220
2010-02-11,32.164230,33.003223,31.802141,33.003223,32.186687,724114
2010-02-12,32.844254,33.524281,32.605804,33.118031,32.298653,831797
2010-02-17,33.665581,34.822506,33.586098,34.283787,33.435566,788430
2010-02-18,34.133652,34.557560,33.382977,34.195473,33.349438,680860
2010-02-19,34.089493,35.184597,33.824551,35.060955,34.193504,1112045
2010-02-22,35.149269,35.317066,34.266125,34.707695,33.848988,942537
2010-02-23,34.433922,34.654709,33.241673,33.444794,32.617329,852179
2010-02-24,33.471291,33.886368,32.941402,33.462460,32.634560,789109
2010-02-25,32.870750,33.647919,32.367355,33.444794,32.617329,494594
2010-02-26,33.559605,33.559605,32.579311,33.118031,32.298653,404802
