Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,9.470000,9.510000,8.970000,9.030000,9.030000,16237300
2023-01-03,9.080000,9.270000,8.400000,8.520000,8.520000,28991700
2023-01-04,8.650000,8.800000,8.400000,8.730000,8.730000,24618000
2023-01-05,8.800000,9.820000,8.600000,9.690000,9.690000,42627600
2023-01-06,9.700000,10.430000,9.580000,10.410000,10.410000,29043100
2023-01-09,10.200000,11.210000,10.070000,11.080000,11.080000,37260500
2023-01-10,10.990000,12.210000,10.750000,11.910000,11.910000,40781500
2023-01-11,11.990000,12.080000,11.390000,12.000000,12.000000,40921200
2023-01-12,2.800000,2.950000,2.400000,2.720000,2.720000,251263300
2023-01-13,2.750000,4.380000,2.700000,3.150000,3.150000,219116000
2023-01-16,2.400000,2.410000,1.800000,1.940000,1.940000,128883100
2023-01-17,1.970000,2.350000,1.890000,1.900000,1.900000,93440100
2023-01-18,2.000000,2.030000,1.710000,1.740000,1.740000,73333400
2023-01-19,1.480000,1.480000,1.000000,1.000000,1.000000,140828300
2023-01-20,0.990000,1.180000,0.640000,0.710000,0.710000,262142300
2023-01-23,0.850000,0.880000,0.740000,0.800000,0.800000,145368100
2023-01-24,0.800000,0.870000,0.780000,0.800000,0.800000,60359400
2023-01-25,0.850000,1.060000,0.820000,0.940000,0.940000,138289300
2023-01-26,0.950000,1.050000,0.940000,1.030000,1.030000,86642800
2023-01-27,1.050000,1.200000,1.040000,1.200000,1.200000,98652200
